iter	Passed	Remaining
0	1	103
1	1	65
2	1	50
3	1	43
4	1	37
5	2	33
6	2	31
7	2	28
8	2	27
9	2	26
10	3	25
11	3	24
12	3	23
13	3	22
14	3	22
15	4	21
16	4	20
17	4	20
18	4	19
19	4	19
20	5	19
21	5	18
22	5	18
23	5	17
24	5	17
25	6	17
26	6	16
27	6	16
28	6	16
29	6	15
30	6	15
31	7	15
32	7	14
33	7	14
34	7	14
35	7	14
36	8	13
37	8	13
38	8	13
39	8	13
40	8	12
41	8	12
42	9	12
43	9	11
44	9	11
45	9	11
46	9	11
47	10	10
48	10	10
49	10	10
50	10	10
51	10	9
52	10	9
53	11	9
54	11	9
55	11	8
56	11	8
57	11	8
58	11	8
59	12	8
60	12	7
61	12	7
62	12	7
63	12	7
64	13	7
65	13	6
66	13	6
67	13	6
68	13	6
69	14	6
70	14	5
71	14	5
72	14	5
73	14	5
74	15	5
75	15	4
76	15	4
77	15	4
78	15	4
79	15	3
80	16	3
81	16	3
82	16	3
83	16	3
84	16	2
85	17	2
86	17	2
87	17	2
88	17	2
89	17	1
90	18	1
91	18	1
92	18	1
93	18	1
94	18	0
95	19	0
96	19	0
97	19	0
98	19	0
99	19	0
