iter	Passed	Remaining
0	57	57601
1	58	28951
2	58	19372
3	58	14571
4	58	11706
5	59	9789
6	59	8428
7	59	7399
8	60	6608
9	60	5973
10	60	5449
11	60	5009
12	61	4647
13	61	4333
14	61	4057
15	62	3817
16	62	3613
17	62	3422
18	62	3252
19	63	3103
20	63	2968
21	63	2843
22	64	2727
23	64	2620
24	64	2524
25	65	2436
26	65	2355
27	65	2279
28	65	2206
29	66	2141
30	66	2078
31	66	2019
32	67	1965
33	67	1914
34	67	1864
35	67	1819
36	68	1775
37	68	1734
38	68	1694
39	69	1656
40	69	1621
41	69	1587
42	69	1554
43	70	1525
44	70	1495
45	70	1468
46	71	1441
47	71	1414
48	71	1389
49	71	1365
50	72	1343
51	72	1320
52	72	1300
53	73	1279
54	73	1260
55	73	1241
56	73	1223
57	74	1205
58	74	1188
59	74	1171
60	75	1156
61	75	1141
62	75	1126
63	76	1111
64	76	1097
65	76	1084
66	76	1070
67	77	1057
68	77	1044
69	77	1032
70	78	1021
71	78	1009
72	78	998
73	78	986
74	79	975
75	79	965
76	79	954
77	79	944
78	80	935
79	80	925
80	80	916
81	81	907
82	81	896
83	81	887
84	81	879
85	82	871
86	82	864
87	82	856
88	82	848
89	83	841
90	83	833
91	83	826
92	84	819
93	84	812
94	84	806
95	84	799
96	85	792
97	85	786
98	85	779
99	85	773
100	86	766
101	86	761
102	86	755
103	86	749
104	87	743
105	87	737
106	87	732
107	88	726
108	88	721
109	88	716
110	88	712
111	89	707
112	89	702
113	89	697
114	90	692
115	90	687
116	90	682
117	90	677
118	90	673
119	91	668
120	91	663
121	91	659
122	91	654
123	92	650
124	92	646
125	92	642
126	92	638
127	93	634
128	93	631
129	93	627
130	94	623
131	94	619
132	94	616
133	94	612
134	95	609
135	95	606
136	95	602
137	95	599
138	96	595
139	96	592
140	96	589
141	96	585
142	97	582
143	97	578
144	97	575
145	97	572
146	98	570
147	98	567
148	98	564
149	99	561
150	99	558
151	99	555
152	99	552
153	100	549
154	100	546
155	100	543
156	100	540
157	100	537
158	101	535
159	101	532
160	101	529
161	101	527
162	102	524
163	102	522
164	102	519
165	102	517
166	103	514
167	103	512
168	103	509
169	103	507
170	104	505
171	104	502
172	104	500
173	105	498
174	105	496
175	105	494
176	105	491
177	106	489
178	106	487
179	106	485
180	106	483
181	107	481
182	107	479
183	107	477
184	107	475
185	108	473
186	108	471
187	108	470
188	109	468
189	109	466
190	109	464
191	110	462
192	110	460
193	110	459
194	110	457
195	111	455
196	111	453
197	111	451
198	111	450
199	112	448
200	112	446
201	112	444
202	112	443
203	113	441
204	113	439
205	113	437
206	113	436
207	114	434
208	114	433
209	114	431
210	114	429
211	115	428
212	115	427
213	115	425
214	116	424
215	116	422
216	116	421
217	117	419
218	117	418
219	117	416
220	117	415
221	118	413
222	118	412
223	118	410
224	118	409
225	119	408
226	119	406
227	119	405
228	119	403
229	120	402
230	120	400
231	120	399
232	120	398
233	121	396
234	121	395
235	121	394
236	121	392
237	122	391
238	122	389
239	122	388
240	123	387
241	123	386
242	123	384
243	123	383
244	124	382
245	124	380
246	124	379
247	124	378
248	125	377
249	125	375
250	125	374
251	125	373
252	126	372
253	126	371
254	126	369
255	126	368
256	127	367
257	127	366
258	127	365
259	127	364
260	128	363
261	128	362
262	128	360
263	128	359
264	129	358
265	129	357
266	129	356
267	129	354
268	130	353
269	130	352
270	130	351
271	131	350
272	131	349
273	131	348
274	131	347
275	132	347
276	132	345
